id,kind,date,name,country,players,format,format_name,day2,day2_labs,labs_id,winner,winner_variant,winner_archetype,top8_variants
518,international,2026-06-10,"NAIC 2026, New Orleans",US,3752,TEF-CRI,Temporal Forces - Chaos Rising,675,675,0070,James Kowalski,Lillie's Clefairy,Lillie's Clefairy,Lillie's Clefairy; Dragapult Dusknoir; Dragapult; Slowking; Crustle; Dragapult Blaziken; Rocket's Mewtwo; Dragapult
559,regional,2026-05-30,"Regional Indianapolis, IN",US,1974,TEF-POR,Temporal Forces - Perfect Order,360,360,0068,Cerys Jones,Alakazam Dudunsparce,Alakazam,Alakazam Dudunsparce; Crustle; Dragapult Dusknoir; Dragapult; Dragapult; Dragapult; Dragapult; Dragapult
550,regional,2026-05-23,Regional Melbourne,AU,959,TEF-POR,Temporal Forces - Perfect Order,179,179,0066,Hiromu Sasaki,Dragapult,Dragapult,Dragapult; Dragapult; Dragapult Dusknoir; Ogerpon Meganium; Raging Bolt Ogerpon; Dragapult; Basic Box; Dragapult Blaziken
544,regional,2026-05-16,Regional Campinas,BR,1725,TEF-POR,Temporal Forces - Perfect Order,316,316,0065,Matias Matricardi,Hydrapple,Hydrapple,Hydrapple; Dragapult; Rocket's Mewtwo; Dragapult Dudunsparce; Basic Box; Dragapult Dudunsparce; Alakazam Dudunsparce; Raging Bolt Ogerpon
535,regional,2026-05-16,Regional Utrecht,NL,2150,TEF-POR,Temporal Forces - Perfect Order,395,395,0064,Miloslav Posledni,Lopunny Dudunsparce,Mega Lopunny,Lopunny Dudunsparce; Dragapult; Dragapult; Rocket's Honchkrow; Dragapult; Dragapult; Dragapult Dusknoir; Basic Box
558,regional,2026-05-09,"Regional Los Angeles, CA",US,1849,TEF-POR,Temporal Forces - Perfect Order,331,331,0063,Andrew Hedrick,Dragapult,Dragapult,Dragapult; Dragapult Dudunsparce; Dragapult Dusknoir; Dragapult Dusknoir; Lopunny Dudunsparce; Lucario Hariyama; Dragapult; Raging Bolt Ogerpon
539,regional,2026-04-25,Regional Prague,CZ,1370,TEF-POR,Temporal Forces - Perfect Order,255,255,0062,Mateusz Łaszkiewicz,Dragapult Dudunsparce,Dragapult,Dragapult Dudunsparce; Crustle; Cynthia's Garchomp; Starmie Dusknoir; Dragapult; Raging Bolt Ogerpon; Crustle; Dragapult Blaziken
